Learning Standard,Category,Sub-Category,State Standard,,,
W.K-5.10,K-5 College and Career Readiness Anchor Standards for Writing,Range of Writing,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes, and audiences.",,,
W.K-5.11,K-5 College and Career Readiness Anchor Standards for Writing,Responding to Literature,"Develop personal, cultural, textual, and thematic connections within and across genres as they respond to texts through written, digital, and oral presentations, employing a variety of media and genres.",,,
W.K-5.2,K-5 College and Career Readiness Anchor Standards for Writing,Text Types and Purposes,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",,,
W.K-5.3,K-5 College and Career Readiness Anchor Standards for Writing,Text Types and Purposes,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details, and well-structured event sequences.",,,
W.K-5.4,K-5 College and Career Readiness Anchor Standards for Writing,Production and Distribution of Writing,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",,,
W.K-5.5,K-5 College and Career Readiness Anchor Standards for Writing,Production and Distribution of Writing,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach.",,,
W.K-5.6,K-5 College and Career Readiness Anchor Standards for Writing,Production and Distribution of Writing,"Use technology, including the Internet, to produce and publish writing and to interact and collaborate with others.",,,
W.K-5.7,K-5 College and Career Readiness Anchor Standards for Writing,Research to Build and Present Knowledge,"Conduct short as well as more sustained research projects based on focused questions, demonstrating understanding of the subject under investigation.",,,
W.K-5.8,K-5 College and Career Readiness Anchor Standards for Writing,Research to Build and Present Knowledge,"Gather relevant information from multiple print and digital sources, assess the credibility and accuracy of each source, and integrate the information while avoiding plagiarism.",,,
W.K-5.9,K-5 College and Career Readiness Anchor Standards for Writing,Research to Build and Present Knowledge,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",,,
W.6-12.1,6-12 College and Career Readiness Anchor Standards for Writing,Text Types and Purposes,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",,,
W.6-12.10,6-12 College and Career Readiness Anchor Standards for Writing,Range of Writing,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes, and audiences.",,,
W.6-12.11,6-12 College and Career Readiness Anchor Standards for Writing,Responding to Literature,"Develop personal, cultural, textual, and thematic connections within and across genres as they respond to texts through written, digital, and oral presentations, employing a variety of media and genres.",,,
W.6-12.2,6-12 College and Career Readiness Anchor Standards for Writing,Text Types and Purposes,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",,,
W.6-12.3,6-12 College and Career Readiness Anchor Standards for Writing,Text Types and Purposes,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details, and well-structured event sequences.",,,
W.6-12.4,6-12 College and Career Readiness Anchor Standards for Writing,Production and Distribution of Writing,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",,,
W.6-12.5,6-12 College and Career Readiness Anchor Standards for Writing,Production and Distribution of Writing,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach.",,,
W.6-12.6,6-12 College and Career Readiness Anchor Standards for Writing,Production and Distribution of Writing,"Use technology, including the Internet, to produce and publish writing and to interact and collaborate with others.",,,
W.6-12.7,6-12 College and Career Readiness Anchor Standards for Writing,Research to Build and Present Knowledge,"Conduct short as well as more sustained research projects based on focused questions, demonstrating understanding of the subject under investigation.",,,
W.6-12.8,6-12 College and Career Readiness Anchor Standards for Writing,Research to Build and Present Knowledge,"Gather relevant information from multiple print and digital sources, assess the credibility and accuracy of each source, and integrate the information while avoiding plagiarism.",,,
W.6-12.9,6-12 College and Career Readiness Anchor Standards for Writing,Research to Build and Present Knowledge,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",,,
SL.K-5.1,K-5 College and Career Readiness Anchor Standards for Speaking and Listening,Comprehension and Collaboration,"Prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others’ ideas and expressing their own clearly and persuasively.",,,
SL.K-5.2,K-5 College and Career Readiness Anchor Standards for Speaking and Listening,Comprehension and Collaboration,"Integrate and evaluate information presented in diverse media and formats, including visually, quantitatively, and orally.",,,
SL.K-5.3,K-5 College and Career Readiness Anchor Standards for Speaking and Listening,Comprehension and Collaboration,"Evaluate a speaker’s point of view, reasoning, and use of evidence and rhetoric.",,,
SL.K-5.4,K-5 College and Career Readiness Anchor Standards for Speaking and Listening,Presentation of Knowledge and Ideas,"Present information, findings, and supporting evidence such that listeners can follow the line of reasoning and the organization, development, and style are appropriate to task, purpose, and audience.",,,
SL.K-5.5,K-5 College and Career Readiness Anchor Standards for Speaking and Listening,Presentation of Knowledge and Ideas,Make strategic use of digital media and visual displays of data to express information and enhance understanding of presentations.,,,
SL.K-5.6,K-5 College and Career Readiness Anchor Standards for Speaking and Listening,Presentation of Knowledge and Ideas,"Adapt speech to a variety of contexts and communicative tasks, demonstrating command of formal English when indicated or appropriate.",,,
SL.6-12.1,6-12 College and Career Readiness Anchor Standards for Speaking and Listening,Comprehension and Collaboration,"Prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others’ ideas and expressing their own clearly and persuasively.",,,
SL.6-12.2,6-12 College and Career Readiness Anchor Standards for Speaking and Listening,Comprehension and Collaboration,"Integrate and evaluate information presented in diverse media and formats, including visually, quantitatively, and orally.",,,
SL.6-12.3,6-12 College and Career Readiness Anchor Standards for Speaking and Listening,Comprehension and Collaboration,"Evaluate a speaker’s point of view, reasoning, and use of evidence and rhetoric.",,,
SL.6-12.4,6-12 College and Career Readiness Anchor Standards for Speaking and Listening,Presentation of Knowledge and Ideas,"Present information, findings, and supporting evidence such that listeners can follow the line of reasoning and the organization, development, and style are appropriate to task, purpose, and audience.",,,
SL.6-12.5,6-12 College and Career Readiness Anchor Standards for Speaking and Listening,Presentation of Knowledge and Ideas,Make strategic use of digital media and visual displays of data to express information and enhance understanding of presentations.,,,
SL.6-12.6,6-12 College and Career Readiness Anchor Standards for Speaking and Listening,Presentation of Knowledge and Ideas,"Adapt speech to a variety of contexts and communicative tasks, demonstrating command of formal English when indicated or appropriate.",,,
L.K-5.1,K-5 College and Career Readiness Anchor Standards for Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,
L.K-5.2,K-5 College and Career Readiness Anchor Standards for Language,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,
L.K-5.3,K-5 College and Career Readiness Anchor Standards for Language,Knowledge of Language,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",,,
L.K-5.4,K-5 College and Career Readiness Anchor Standards for Language,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases by using context clues, analyzing meaningful word parts, and consulting general and specialized reference materials, as appropriate.",,,
L.K-5.5,K-5 College and Career Readiness Anchor Standards for Language,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships and nuances in word meanings.",,,
L.K-5.6,K-5 College and Career Readiness Anchor Standards for Language,Vocabulary Acquisition and Use,"Acquire and use accurately a range of general academic and domain-specific words and phrases sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when encountering an unknown term important to comprehension or expression.",,,
L.6-12.1,6-12 College and Career Readiness Anchor Standards for Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,
L.6-12.2,6-12 College and Career Readiness Anchor Standards for Language,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,
L.6-12.3,6-12 College and Career Readiness Anchor Standards for Language,Knowledge of Language,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",,,
L.6-12.4,6-12 College and Career Readiness Anchor Standards for Language,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases by using context clues, analyzing meaningful word parts, and consulting general and specialized reference materials, as appropriate.",,,
L.6-12.5,6-12 College and Career Readiness Anchor Standards for Language,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",,,
L.6-12.6,6-12 College and Career Readiness Anchor Standards for Language,Vocabulary Acquisition and Use,"Acquire and use accurately a range of general academic and domain-specific words and phrases sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when considering a word or phrase important to comprehension or expression.",,,
RL.PK.1,Reading Standards for Literature,Key Ideas and Details,"With prompting and support, ask and answer about detail(s) in a text.",,,
RL.PK.10,Reading Standards for Literature,Range of Reading and Level of Text Complexity,Actively engage in group reading activities with purpose and understanding.,,,
RL.PK.11,Reading Standards for Literature,Responding to Literature,"With prompting and support, make connections between self, text, and the world around them (text, media, social interaction).",,,
RL.PK.2,Reading Standards for Literature,Key Ideas and Details,"With prompting and support, retell familiar stories.",,,
RL.PK.3,Reading Standards for Literature,Key Ideas and Details,"With prompting and support, ask and answer questions about characters and major events in a story.",,,
RL.PK.4,Reading Standards for Literature,Craft and Structure,"Exhibit curiosity and interest in learning new vocabulary (e.g., ask questions about unfamiliar vocabulary).",,,
RL.PK.5,Reading Standards for Literature,Craft and Structure,"Students interact with a variety of common types of texts (e.g., storybooks, poems, songs).",,,
RL.PK.6,Reading Standards for Literature,Craft and Structure,"With prompting and support, can describe the role of an author and illustrator.",,,
RL.PK.7,Reading Standards for Literature,Integration and Knowledge of Ideas,"With prompting and support, students will engage in a picture walk to make connections between self, illustrations, and the story.",,,
RL.PK.8,Reading Standards for Literature,Integration and Knowledge of Ideas,Not applicable to literature,,,
RL.PK.9,Reading Standards for Literature,Integration and Knowledge of Ideas,"With prompting and support, students will compare and contrast two stories relating to the same topic.",,,
RL.PK.9.a,Reading Standards for Literature,Integration and Knowledge of Ideas,"With prompting and support, students will make cultural connections to text and self.",,,
RL.K.1,Reading Literature,Key Ideas and Details,"With prompting and support, ask and answer questions about key details in a text.",,,
RL.K.10,Reading Literature,Range of Reading and Level of Text Complexity,Actively engage in group reading activities with purpose and understanding.,,,
RL.K.11,Reading Standards for Literature,Responding to Literature,"With prompting and support, make connections between self, text, and the world around them (text, media, social interaction).",,,
RL.K.2,Reading Literature,Key Ideas and Details,"With prompting and support, retell familiar stories, including key details.",,,
RL.K.3,Reading Literature,Key Ideas and Details,"With prompting and support, identify characters, settings, and major events in a story.",,,
RL.K.4,Reading Literature,Craft and Structure,Ask and answer questions about unknown words in a text.,,,
RL.K.5,Reading Literature,Craft and Structure,"Recognize common types of texts (e.g., storybooks, poems).",,,
RL.K.6,Reading Literature,Craft and Structure,"With prompting and support, name the author and illustrator of a story and define the role of each in telling the story.",,,
RL.K.7,Reading Literature,Integration of Knowledge and Ideas,"With prompting and support, describe the relationship between illustrations and the story in which they appear (e.g., what moment in a story an illustration depicts).",,,
RL.K.8,Reading Literature,Integration of Knowledge and Ideas,(Not applicable to literature),,,
RL.K.9,Reading Literature,Integration of Knowledge and Ideas,"With prompting and support, compare and contrast the adventures and experiences of characters in familiar stories. a. With prompting and support, students will make cultural connections to text and self.",,,
RL.K.9.a,Reading Literature,Integration of Knowledge and Ideas,"With prompting and support, students will make cultural connections to text and self.",,,
RL.1.1,Reading Literature,Key Ideas and Details,Ask and answer questions about key details in a text.,,,
RL.1.10,Reading Literature,Range of Reading and Level of Text Complexity,"With prompting and support, read prose and poetry of appropriate complexity for grade 1.",,,
RL.1.11,Reading Standards for Literature,Responding to Literature,"Make connections between self, text, and the world around them (text, media, social interaction).",,,
RL.1.2,Reading Literature,Key Ideas and Details,"Retell stories, including key details, and demonstrate understanding of their central message or lesson.",,,
RL.1.3,Reading Literature,Key Ideas and Details,"Describe characters, settings, and major events in a story, using key details.",,,
RL.1.4,Reading Literature,Craft and Structure,Identify words and phrases in stories or poems that suggest feelings or appeal to the senses.,,,
RL.1.5,Reading Literature,Craft and Structure,"Explain major differences between books that tell stories and books that give information, drawing on a wide reading of a range of text types.",,,
RL.1.6,Reading Literature,Craft and Structure,Identify who is telling the story at various points in a text.,,,
RL.1.7,Reading Literature,Integration of Knowledge and Ideas,"Use illustrations and details in a story to describe its characters, setting, or events.",,,
RL.1.8,Reading Literature,Integration of Knowledge and Ideas,(Not applicable to literature),,,
RL.1.9,Reading Literature,Integration of Knowledge and Ideas,Compare and contrast the adventures and experiences of characters in stories.,,,
RL.1.9.a,Reading Literature,Integration of Knowledge and Ideas,"With prompting and support, students will make cultural connections to text and self.",,,
RL.2.1,Reading Literature,Key Ideas and Details,"Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text.",,,
RL.2.10,Reading Literature,Range of Reading and Level of Text Complexity,"By the end of the year, read and comprehend literature, including stories and poetry, in the grades 2–3 text complexity band proficiently, with scaffolding as needed at the high end of the range.",,,
RL.2.11,Reading Standards for Literature,Responding to Literature,"Make connections between self, text, and the world around them (text, media, social interaction).",,,
RL.2.2,Reading Literature,Key Ideas and Details,"Recount stories, including fables and folktales from diverse cultures, and determine their central message, lesson, or moral.",,,
RL.2.3,Reading Literature,Key Ideas and Details,Describe how characters in a story respond to major events and challenges.,,,
RL.2.4,Reading Literature,Craft and Structure,"Describe how words and phrases (e.g., regular beats, alliteration, rhymes, repeated lines) supply rhythm and meaning in a story, poem, or song.",,,
RL.2.5,Reading Literature,Craft and Structure,"Describe the overall structure of a story, including describing how the beginning introduces the story and the ending concludes the action.",,,
RL.2.6,Reading Literature,Craft and Structure,"Acknowledge differences in the points of view of characters, including by speaking in a different voice for each character when reading dialogue aloud.",,,
RL.2.7,Reading Literature,Integration of Knowledge and Ideas,"Use information gained from the illustrations and words in a print or digital text to demonstrate understanding of its characters, setting, or plot.",,,
RL.2.8,Reading Literature,Integration of Knowledge and Ideas,(Not applicable to literature),,,
RL.2.9,Reading Literature,Integration of Knowledge and Ideas,"Compare and contrast two or more versions of the same story (e.g., Cinderella stories) by different authors or from different cultures.",,,
RL.3.1,Reading Literature,Key Ideas and Details,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",,,
RL.3.10,Reading Literature,Range of Reading and Complexity of Text,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 2–3 text complexity band independently and proficiently.",,,
RL.3.11,Reading Standards for Literature,Responding to Literature,"Recognize and make connections in narratives, poetry, and drama to other texts, ideas, cultural perspectives, personal events, and situations.",,,
RL.3.11.a,Reading Standards for Literature,Responding to Literature,Self-select text based upon personal preferences.,,,
RL.3.2,Reading Literature,Key Ideas and Details,"Recount stories, including fables, folktales, and myths from diverse cultures; determine the central message, lesson, or moral and explain how it is conveyed through key details in the text.",,,
RL.3.3,Reading Literature,Key Ideas and Details,"Describe characters in a story (e.g., their traits, motivations, or feelings) and explain how their actions contribute to the sequence of events.",,,
RL.3.4,Reading Literature,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, distinguishing literal from nonliteral language.",,,
RL.3.5,Reading Literature,Craft and Structure,"Refer to parts of stories, dramas, and poems when writing or speaking about a text, using terms such as chapter, scene, and stanza; describe how each successive part builds on earlier sections.",,,
RL.3.6,Reading Literature,Craft and Structure,Distinguish their own point of view from that of the narrator or those of the characters.,,,
RL.3.7,Reading Literature,Integration of Knowledge and Ideas,"Explain how specific aspects of a text’s illustrations contribute to what is conveyed by the words in a story (e.g., create mood, emphasize aspects of a character or setting).",,,
RL.3.8,Reading Literature,Integration of Knowledge and Ideas,(Not applicable to literature),,,
RL.3.9,Reading Literature,Integration of Knowledge and Ideas,"Compare and contrast the themes, settings, and plots of stories written by the same author about the same or similar characters (e.g., in books from a series).",,,
RL.4.1,Reading Literature,Key Ideas and Details,Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text.,,,
RL.4.10,Reading Literature,Range of Reading and Complexity of Text,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, in the grades 4–5 text complexity band proficiently, with scaffolding as needed at the high end of the range.",,,
RL.4.11,Reading Standards for Literature,Responding to Literature,"Recognize, interpret and make connections in narratives, poetry, and drama, to other texts, ideas, cultural perspectives, personal events and situations.",,,
RL.4.11.a,Reading Standards for Literature,Responding to Literature,Self-select text based upon personal preferences.,,,
RL.4.2,Reading Literature,Key Ideas and Details,"Determine a theme of a story, drama, or poem from details in the text; summarize the text.",,,
RL.4.3,Reading Literature,Key Ideas and Details,"Describe in depth a character, setting, or event in a story or drama, drawing on specific details in the text (e.g., a character’s thoughts, words, or actions).",,,
RL.4.4,Reading Literature,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including those that allude to significant characters found in mythology (e.g., Herculean).",,,
RL.4.5,Reading Literature,Craft and Structure,"Explain major differences between poems, drama, and prose, and refer to the structural elements of poems (e.g., verse, rhythm, meter) and drama (e.g., casts of characters, settings, descriptions, dialogue, stage directions) when writing or speaking about a text.",,,
RL.4.6,Reading Literature,Craft and Structure,"Compare and contrast the point of view from which different stories are narrated, including the difference between first- and third-person narrations.",,,
RL.4.7,Reading Literature,Integration of Knowledge and Ideas,"Make connections between the text of a story or drama and a visual or oral presentation of the text, identifying where each version reflects specific descriptions and directions in the text.",,,
RL.4.8,Reading Literature,Integration of Knowledge and Ideas,(Not applicable to literature),,,
RL.4.9,Reading Literature,Integration of Knowledge and Ideas,"Compare and contrast the treatment of similar themes and topics (e.g., opposition of good and evil) and patterns of events (e.g., the quest) in stories, myths, and traditional literature from different cultures.",,,
RL.5.1,Reading Literature,Key Ideas and Details,Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text.,,,
RL.5.10,Reading Literature,Range of Reading and Complexity of Text,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 4–5 text complexity band independently and proficiently.",,,
RL.5.11,Reading Standards for Literature,Responding to Literature,"Recognize, interpret, and make connections in narratives, poetry, and drama, to other texts, ideas, cultural perspectives, eras, personal events, and situations.",,,
RL.5.11.a,Reading Standards for Literature,Responding to Literature,Self-select text to develop personal preferences regarding favorite authors.,,,
RL.5.11.b,Reading Standards for Literature,Responding to Literature,"Use established criteria to categorize, select texts and assess to make informed judgments about the quality of the pieces.",,,
RL.5.2,Reading Literature,Key Ideas and Details,"Determine a theme of a story, drama, or poem from details in the text, including how characters in a story or drama respond to challenges or how the speaker in a poem reflects upon a topic; summarize the text.",,,
RL.5.3,Reading Literature,Key Ideas and Details,"Compare and contrast two or more characters, settings, or events in a story or drama, drawing on specific details in the text (e.g., how characters interact).",,,
RL.5.4,Reading Literature,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including figurative language such as metaphors and similes.",,,
RL.5.5,Reading Literature,Craft and Structure,"Explain how a series of chapters, scenes, or stanzas fits together to provide the overall structure of a particular story, drama, or poem.",,,
RL.5.6,Reading Literature,Craft and Structure,Describe how a narrator’s or speaker’s point of view influences how events are described.,,,
RL.5.6.a,Reading Standards for Literature,Craft and Structure,Recognize and describe how an author’s background and culture affect his or her perspective.,,,
RL.5.7,Reading Literature,Integration of Knowledge and Ideas,"Analyze how visual and multimedia elements contribute to the meaning, tone, or beauty of a text (e.g., graphic novel, multimedia presentation of fiction, folktale, myth, poem).",,,
RL.5.8,Reading Literature,Integration of Knowledge and Ideas,(Not applicable to literature),,,
RL.5.9,Reading Literature,Integration of Knowledge and Ideas,"Compare and contrast stories in the same genre (e.g., mysteries and adventure stories) on their approaches to similar themes and topics.",,,
RL.6.1,Reading Literature,Key Ideas and Details,Cite textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.,,,
RL.6.10,Reading Literature,Range of Reading and Level of Text Complexity,"By the end of the year, read and comprehend literature, including stories, dramas, and poems, in the grades 6–8 text complexity band proficiently, with scaffolding as needed at the high end of the range.",,,
RL.6.2,Reading Literature,Key Ideas and Details,Determine a theme or central idea of a text and how it is conveyed through particular details; provide a summary of the text distinct from personal opinions or judgments.,,,
RL.6.3,Reading Literature,Key Ideas and Details,Describe how a particular story’s or drama’s plot unfolds in a series of episodes as well as how the characters respond or change as the plot moves toward a resolution.,,,
RL.6.4,Reading Literature,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of a specific word choice on meaning and tone.",,,
RL.6.5,Reading Literature,Craft and Structure,"Analyze how a particular sentence, chapter, scene, or stanza fits into the overall structure of a text and contributes to the development of the theme, setting, or plot.",,,
RL.6.6,Reading Literature,Craft and Structure,Explain how an author develops the point of view of the narrator or speaker in a text.,,,
RL.6.6.a,Reading Standards for Literature,Craft and Structure,Explain how an author’s geographic location or culture affects his or her perspective.,,,
RL.6.7,Reading Literature,Integration of Knowledge and Ideas,"Compare and contrast the experience of reading a story, drama, or poem to listening to or viewing an audio, video, or live version of the text, including contrasting what they “see” and “hear” when reading the text to what they perceive when they listen or watch.",,,
RL.6.8,Reading Literature,Integration of Knowledge and Ideas,(Not applicable to literature),,,
RL.6.9,Reading Literature,Integration of Knowledge and Ideas,"Compare and contrast texts in different forms or genres (e.g., stories and poems; historical novels and fantasy stories) in terms of their approaches to similar themes and topics.",,,
RL.7.1,Reading Literature,Key Ideas and Details,Cite several pieces of textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.,,,
RL.7.10,Reading Literature,Range of Reading and Level of Text Complexity,"By the end of the year, read and comprehend literature, including stories, dramas, and poems, in the grades 6–8 text complexity band proficiently, with scaffolding as needed at the high end of the range.",,,
RL.7.11,Reading Standards for Literature,Responding to Literature,"Recognize, interpret, and make connections in narratives, poetry, and drama, ethically and artistically to other texts, ideas, cultural perspectives, eras, personal events, and situations.",,,
RL.7.11.a,Reading Standards for Literature,Responding to Literature,Self-select text based on personal preferences.,,,
RL.7.11.b,Reading Standards for Literature,Responding to Literature,"Use established criteria to classify, select, and evaluate texts to make informed judgments about the quality of the pieces.",,,
RL.7.2,Reading Literature,Key Ideas and Details,Determine a theme or central idea of a text and analyze its development over the course of the text; provide an objective summary of the text.,,,
RL.7.3,Reading Literature,Key Ideas and Details,"Analyze how particular elements of a story or drama interact (e.g., how setting shapes the characters or plot).",,,
RL.7.4,Reading Literature,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of rhymes and other repetitions of sounds (e.g., alliteration) on a specific verse or stanza of a poem or section of a story or drama.",,,
RL.7.5,Reading Literature,Craft and Structure,"Analyze how a drama’s or poem’s form or structure (e.g., soliloquy, sonnet) contributes to its meaning.",,,
RL.7.6,Reading Literature,Craft and Structure,Analyze how an author develops and contrasts the points of view of different characters or narrators in a text.,,,
RL.7.6.a,Reading Standards for Literature,Craft and Structure,"Analyze stories, drama, or poems by authors who represent diverse world cultures.",,,
RL.7.7,Reading Literature,Integration of Knowledge and Ideas,"Compare and contrast a written story, drama, or poem to its audio, filmed, staged, or multimedia version, analyzing the effects of techniques unique to each medium (e.g., lighting, sound, color, or camera focus and angles in a film).",,,
RL.7.8,Reading Literature,Integration of Knowledge and Ideas,(Not applicable to literature),,,
RL.7.9,Reading Literature,Integration of Knowledge and Ideas,"Compare and contrast a fictional portrayal of a time, place, or character and a historical account of the same period as a means of understanding how authors of fiction use or alter history.",,,
